question,a,b,c,d,correct,explanation
What is the correct way to determine when an agentic loop should stop,Check stop_reason: if 'tool_use' continue the loop; if 'end_turn' exit. Never parse Claude's text for completion signals.,User-level (~/.claude/CLAUDE.md - personal not shared) - Project-level (.claude/CLAUDE.md or root CLAUDE.md - version controlled shared with team) - Directory-level (subdirectory CLAUDE.md files for local overrides),Emit multiple Task tool calls in a single coordinator response rather than across separate turns.,They teach Claude what NOT to flag which directly reduces false positives. Without them Claude over-reports acceptable patterns as issues.,a,Check stop_reason: if 'tool_use' continue the loop; if 'end_turn' exit. Never parse Claude's text for completion signals.
What are the three agentic loop anti-patterns,High false-positive categories train developers to dismiss everything reflexively - including accurate findings in other categories. The fix is either razor-sharp criteria with code examples or temporarily disabling the category entirely.,Runs Claude Code in non-interactive (print) mode - processes the prompt - outputs to stdout and exits without waiting for user input. Required for CI/CD pipelines to prevent interactive hangs.,They teach Claude what NOT to flag which directly reduces false positives. Without them Claude over-reports acceptable patterns as issues.,1) Parsing natural language signals for termination 2) Using iteration caps as the primary stop mechanism 3) Checking for assistant text content as a completion indicator,d,1) Parsing natural language signals for termination 2) Using iteration caps as the primary stop mechanism 3) Checking for assistant text content as a completion indicator
How are tool results added to the conversation,Escalate immediately with no investigation - no further attempts. This is a non-negotiable hard rule - it is not conditional on the agent's assessment of case complexity.,.mcp.json is project-level committed to version control and shared with the whole team. ~/.claude.json is user-level personal and used for experimental or personal servers. Both are available simultaneously.,Sentiment does not correlate with case complexity - angry customers may have simple issues. Claude's self-reported confidence is poorly calibrated - high confidence can coexist with wrong answers.,Appended as a user message to the conversation history so Claude can reason about the next action,d,Appended as a user message to the conversation history so Claude can reason about the next action
What is the hub-and-spoke pattern in multi-agent systems,Prompts are probabilistic suggestions. Hooks and programmatic gates provide deterministic guarantees. When errors have financial or compliance consequences use code enforcement not prompt instructions.,A coordinator agent manages all inter-subagent communication. It analyzes requests - decomposes tasks - delegates to subagents - aggregates results and checks for gaps. Subagents never talk to each other directly.,failure_type - what_was_attempted - partial_results - retry_recommended and potential alternative approaches. Generic statuses like 'service unavailable' strip decision-critical context from the coordinator.,Access failure: timeout - 500 error - connection dropped - the query never completed. Coordinator should retry or use fallback. Valid empty result: query succeeded normally but no matching records exist. Coordinator should confidently report no record found.,b,A coordinator agent manages all inter-subagent communication. It analyzes requests - decomposes tasks - delegates to subagents - aggregates results and checks for gaps. Subagents never talk to each other directly.
Do subagents automatically inherit the coordinator's context,Check stop_reason: if 'tool_use' continue the loop; if 'end_turn' exit. Never parse Claude's text for completion signals.,2-4 examples targeting ambiguous cases (not easy ones) showing reasoning for why one action was chosen over alternatives demonstrating exact output format and distinguishing acceptable patterns from genuine issues.,No. Subagents have isolated context. Everything - prior findings - source URLs - query goals - must be passed explicitly in the subagent's prompt.,Restricts which tools are available during skill execution - e.g. limiting to file write operations to prevent destructive actions during a specific skill.,c,No. Subagents have isolated context. Everything - prior findings - source URLs - query goals - must be passed explicitly in the subagent's prompt.
What is the coordinator's gap-checking loop,After synthesis the coordinator evaluates whether coverage is complete. If gaps exist it re-delegates with targeted queries and re-invokes synthesis until coverage is sufficient.,References external files to keep CLAUDE.md modular. Allows each package or directory to import only the relevant standards files rather than loading everything in one monolithic file.,When files have changed extensively since the last session. Prior tool results are stale. Start fresh and inject a structured summary of prior findings rather than resuming with outdated context.,1) Parsing natural language signals for termination 2) Using iteration caps as the primary stop mechanism 3) Checking for assistant text content as a completion indicator,a,After synthesis the coordinator evaluates whether coverage is complete. If gaps exist it re-delegates with targeted queries and re-invokes synthesis until coverage is sufficient.
What mechanism is used to spawn subagents in the Claude Agent SDK,Claude uses tool descriptions as its primary decision-making mechanism for tool selection. Minimal or overlapping descriptions cause misrouting. Claude cannot see your code - only the description.,To prevent the model from fabricating values to satisfy required fields. Nullable fields allow Claude to return null when source documents don't contain the information.,.mcp.json is project-level committed to version control and shared with the whole team. ~/.claude.json is user-level personal and used for experimental or personal servers. Both are available simultaneously.,The Task tool. The coordinator's allowedTools must include 'Task' - otherwise it cannot spawn subagents.,d,The Task tool. The coordinator's allowedTools must include 'Task' - otherwise it cannot spawn subagents.
How do you run subagents in parallel,Action verbs in your system prompt (analyze - search - check) can match tool names and create unintended tool associations overriding well-written descriptions. Audit system prompts for verb-to-tool-name collisions.,Emit multiple Task tool calls in a single coordinator response rather than across separate turns.,Force a specific tool for steps that must run first (e.g. extract_metadata). Then switch to auto for subsequent steps. Never force every step - that's a script not an agent.,Resuming a session after editing files without informing the agent of changes. The agent's context contains old tool results and doesn't know the files changed leading to incorrect analysis.,b,Emit multiple Task tool calls in a single coordinator response rather than across separate turns.
What is the difference between a procedural coordinator prompt and a goal-oriented one,A coordinator agent manages all inter-subagent communication. It analyzes requests - decomposes tasks - delegates to subagents - aggregates results and checks for gaps. Subagents never talk to each other directly.,Restricts which tools are available during skill execution - e.g. limiting to file write operations to prevent destructive actions during a specific skill.,2-4 examples targeting ambiguous cases (not easy ones) showing reasoning for why one action was chosen over alternatives demonstrating exact output format and distinguishing acceptable patterns from genuine issues.,Procedural: lists step-by-step instructions. Goal-oriented: specifies research goals and quality criteria and lets subagents decide how to achieve them.,d,Procedural: lists step-by-step instructions. Goal-oriented: specifies research goals and quality criteria and lets subagents decide how to achieve them.
What is the foundational principle of programmatic enforcement vs prompts,Intercepts outgoing tool calls before execution - used to enforce compliance rules like blocking refunds above a threshold and redirecting to escalation.,--resume continues a specific named prior session. fork_session creates independent branches from a shared analysis baseline to explore divergent approaches without contaminating each other.,50% cost savings - processing window up to 24 hours - no guaranteed latency SLA - no multi-turn tool calling support. Use custom_id fields to correlate request/response pairs.,Prompts are probabilistic suggestions. Hooks and programmatic gates provide deterministic guarantees. When errors have financial or compliance consequences use code enforcement not prompt instructions.,d,Prompts are probabilistic suggestions. Hooks and programmatic gates provide deterministic guarantees. When errors have financial or compliance consequences use code enforcement not prompt instructions.
What is a prerequisite gate,A programmatic check that blocks a downstream tool call until a required prior step has completed - e.g. blocking process_refund until get_customer has returned a verified customer ID.,--resume continues a specific named prior session. fork_session creates independent branches from a shared analysis baseline to explore divergent approaches without contaminating each other.,1) Progressive summarization risk - numerical facts get smoothed into vague descriptions 2) Lost-in-the-middle effect - models process beginning and end reliably - middle is degraded 3) Tool result bloat - verbose outputs accumulate consuming tokens,No. Subagents have isolated context. Everything - prior findings - source URLs - query goals - must be passed explicitly in the subagent's prompt.,a,A programmatic check that blocks a downstream tool call until a required prior step has completed - e.g. blocking process_refund until get_customer has returned a verified customer ID.
What should a structured human handoff summary include,Customer ID - issue summary - root cause - recommended action - reason for escalation and refund amount. The agent minimizes the human's work by handing off a complete picture.,Action verbs in your system prompt (analyze - search - check) can match tool names and create unintended tool associations overriding well-written descriptions. Audit system prompts for verb-to-tool-name collisions.,When files have changed extensively since the last session. Prior tool results are stale. Start fresh and inject a structured summary of prior findings rather than resuming with outdated context.,Check stop_reason: if 'tool_use' continue the loop; if 'end_turn' exit. Never parse Claude's text for completion signals.,a,Customer ID - issue summary - root cause - recommended action - reason for escalation and refund amount. The agent minimizes the human's work by handing off a complete picture.
What does a PostToolUse hook do,1) Customer explicitly requests a human (non-negotiable - honor immediately) 2) Policy exception or gap - policy is silent or ambiguous on the request 3) Agent cannot make meaningful progress after attempting resolution,Extracting critical transactional data (amounts - dates - order numbers - statuses) into a separate structured block included in every prompt outside of summarized history - so concrete facts are never lost to summarization.,The Task tool. The coordinator's allowedTools must include 'Task' - otherwise it cannot spawn subagents.,Intercepts tool results after execution and before Claude sees them - used to normalize data formats (dates - status codes - field names) deterministically.,d,Intercepts tool results after execution and before Claude sees them - used to normalize data formats (dates - status codes - field names) deterministically.
What does a pre-tool hook do,Force a specific tool for steps that must run first (e.g. extract_metadata). Then switch to auto for subsequent steps. Never force every step - that's a script not an agent.,Intercepts outgoing tool calls before execution - used to enforce compliance rules like blocking refunds above a threshold and redirecting to escalation.,.mcp.json is project-level committed to version control and shared with the whole team. ~/.claude.json is user-level personal and used for experimental or personal servers. Both are available simultaneously.,No. Subagents have isolated context. Everything - prior findings - source URLs - query goals - must be passed explicitly in the subagent's prompt.,b,Intercepts outgoing tool calls before execution - used to enforce compliance rules like blocking refunds above a threshold and redirecting to escalation.
What is the rule for when to use hooks vs prompts for enforcement,Exposing content catalogs (issue summaries - documentation hierarchies - database schemas) so agents can browse what's available before making targeted tool calls - reducing unnecessary exploratory calls.,Use hooks for: refund limits - data normalization - PII redaction - blocking admin tools. Use prompts for: tone of voice - suggested upsells - preferred resolution order. Rule: if you'd get fired for the 1% failure use a hook.,Procedural: lists step-by-step instructions. Goal-oriented: specifies research goals and quality criteria and lets subagents decide how to achieve them.,Appropriate: latency-tolerant non-blocking workloads (overnight reports - weekly audits - nightly test generation). Inappropriate: blocking workflows that must complete before users can proceed (pre-merge checks).,b,Use hooks for: refund limits - data normalization - PII redaction - blocking admin tools. Use prompts for: tone of voice - suggested upsells - preferred resolution order. Rule: if you'd get fired for the 1% failure use a hook.
What is the difference between prompt chaining and dynamic adaptive decomposition,1) Progressive summarization risk - numerical facts get smoothed into vague descriptions 2) Lost-in-the-middle effect - models process beginning and end reliably - middle is degraded 3) Tool result bloat - verbose outputs accumulate consuming tokens,Prompt chaining uses a fixed sequential pipeline for predictable workflows where steps are known in advance. Dynamic adaptive decomposition generates subtasks based on what is discovered at each step - used for investigative open-ended tasks.,Resuming a session after editing files without informing the agent of changes. The agent's context contains old tool results and doesn't know the files changed leading to incorrect analysis.,1) Parsing natural language signals for termination 2) Using iteration caps as the primary stop mechanism 3) Checking for assistant text content as a completion indicator,b,Prompt chaining uses a fixed sequential pipeline for predictable workflows where steps are known in advance. Dynamic adaptive decomposition generates subtasks based on what is discovered at each step - used for investigative open-ended tasks.
When should you split a code review into multiple passes,1) Customer explicitly requests a human (non-negotiable - honor immediately) 2) Policy exception or gap - policy is silent or ambiguous on the request 3) Agent cannot make meaningful progress after attempting resolution,An empty result (0 records found) is a successful query with no matches - isError: false. An access failure (timeout - 500 error) is a genuine error - isError: true. Conflating them causes the coordinator to make wrong recovery decisions.,When reviewing many files: run per-file local passes for focused individual analysis then a separate cross-file integration pass to catch systemic patterns. Single-pass reviews cause attention dilution and contradictory findings.,Glob patterns can apply conventions to files spread across multiple directories (e.g. all test files regardless of location) while CLAUDE.md files are directory-bound.,c,When reviewing many files: run per-file local passes for focused individual analysis then a separate cross-file integration pass to catch systemic patterns. Single-pass reviews cause attention dilution and contradictory findings.
What is the difference between --resume and fork_session,Action verbs in your system prompt (analyze - search - check) can match tool names and create unintended tool associations overriding well-written descriptions. Audit system prompts for verb-to-tool-name collisions.,The agent maintains a file on disk recording key findings as exploration proceeds. When answering later questions it reads the scratchpad first - findings persist on disk independent of the context window.,--resume continues a specific named prior session. fork_session creates independent branches from a shared analysis baseline to explore divergent approaches without contaminating each other.,Access failure: timeout - 500 error - connection dropped - the query never completed. Coordinator should retry or use fallback. Valid empty result: query succeeded normally but no matching records exist. Coordinator should confidently report no record found.,c,--resume continues a specific named prior session. fork_session creates independent branches from a shared analysis baseline to explore divergent approaches without contaminating each other.
When should you start a fresh session instead of resuming,When files have changed extensively since the last session. Prior tool results are stale. Start fresh and inject a structured summary of prior findings rather than resuming with outdated context.,An empty result (0 records found) is a successful query with no matches - isError: false. An access failure (timeout - 500 error) is a genuine error - isError: true. Conflating them causes the coordinator to make wrong recovery decisions.,Claude uses tool descriptions as its primary decision-making mechanism for tool selection. Minimal or overlapping descriptions cause misrouting. Claude cannot see your code - only the description.,Emit multiple Task tool calls in a single coordinator response rather than across separate turns.,a,When files have changed extensively since the last session. Prior tool results are stale. Start fresh and inject a structured summary of prior findings rather than resuming with outdated context.
What is the stale context trap,Resuming a session after editing files without informing the agent of changes. The agent's context contains old tool results and doesn't know the files changed leading to incorrect analysis.,Intercepts tool results after execution and before Claude sees them - used to normalize data formats (dates - status codes - field names) deterministically.,Extracting critical transactional data (amounts - dates - order numbers - statuses) into a separate structured block included in every prompt outside of summarized history - so concrete facts are never lost to summarization.,A command that compresses verbose context accumulated during extended exploration sessions - reducing context usage so the session can continue. A pragmatic escape valve not a replacement for architectural context management.,a,Resuming a session after editing files without informing the agent of changes. The agent's context contains old tool results and doesn't know the files changed leading to incorrect analysis.
Why do tool descriptions matter so much,Runs Claude Code in non-interactive (print) mode - processes the prompt - outputs to stdout and exits without waiting for user input. Required for CI/CD pipelines to prevent interactive hangs.,Claude uses tool descriptions as its primary decision-making mechanism for tool selection. Minimal or overlapping descriptions cause misrouting. Claude cannot see your code - only the description.,Action verbs in your system prompt (analyze - search - check) can match tool names and create unintended tool associations overriding well-written descriptions. Audit system prompts for verb-to-tool-name collisions.,Organizing topic-specific rule files as an alternative to a monolithic CLAUDE.md. Each file has YAML frontmatter with a paths field containing glob patterns for conditional activation.,b,Claude uses tool descriptions as its primary decision-making mechanism for tool selection. Minimal or overlapping descriptions cause misrouting. Claude cannot see your code - only the description.
What are the five ingredients of a bulletproof tool description,tool_use with a JSON schema as input parameters. Forces schema compliance and eliminates JSON syntax errors. tool_choice: 'any' guarantees the model calls a tool rather than returning conversational text.,1) Purpose statement 2) Input format 3) Output format 4) Edge case handling 5) Boundary explanation - when to use this tool vs a similar alternative,Prompt chaining uses a fixed sequential pipeline for predictable workflows where steps are known in advance. Dynamic adaptive decomposition generates subtasks based on what is discovered at each step - used for investigative open-ended tasks.,Claude uses tool descriptions as its primary decision-making mechanism for tool selection. Minimal or overlapping descriptions cause misrouting. Claude cannot see your code - only the description.,b,1) Purpose statement 2) Input format 3) Output format 4) Edge case handling 5) Boundary explanation - when to use this tool vs a similar alternative
What is the system prompt keyword collision problem,.mcp.json is project-level committed to version control and shared with the whole team. ~/.claude.json is user-level personal and used for experimental or personal servers. Both are available simultaneously.,Action verbs in your system prompt (analyze - search - check) can match tool names and create unintended tool associations overriding well-written descriptions. Audit system prompts for verb-to-tool-name collisions.,Grep searches inside files for content patterns (function names - error messages - imports). Glob searches for files by name or extension pattern (e.g. **/*.test.tsx).,To prevent the model from fabricating values to satisfy required fields. Nullable fields allow Claude to return null when source documents don't contain the information.,b,Action verbs in your system prompt (analyze - search - check) can match tool names and create unintended tool associations overriding well-written descriptions. Audit system prompts for verb-to-tool-name collisions.
What are the four MCP error categories,Check stop_reason: if 'tool_use' continue the loop; if 'end_turn' exit. Never parse Claude's text for completion signals.,Transient (timeout - retryable) - Validation (bad input - not retryable without fixing input) - Business (policy violation - not retryable) - Permission (no access - not retryable without escalation),Exposing content catalogs (issue summaries - documentation hierarchies - database schemas) so agents can browse what's available before making targeted tool calls - reducing unnecessary exploratory calls.,When reviewing many files: run per-file local passes for focused individual analysis then a separate cross-file integration pass to catch systemic patterns. Single-pass reviews cause attention dilution and contradictory findings.,b,Transient (timeout - retryable) - Validation (bad input - not retryable without fixing input) - Business (policy violation - not retryable) - Permission (no access - not retryable without escalation)
What is the critical distinction between an empty result and an error,Action verbs in your system prompt (analyze - search - check) can match tool names and create unintended tool associations overriding well-written descriptions. Audit system prompts for verb-to-tool-name collisions.,An empty result (0 records found) is a successful query with no matches - isError: false. An access failure (timeout - 500 error) is a genuine error - isError: true. Conflating them causes the coordinator to make wrong recovery decisions.,After synthesis the coordinator evaluates whether coverage is complete. If gaps exist it re-delegates with targeted queries and re-invokes synthesis until coverage is sufficient.,Force a specific tool for steps that must run first (e.g. extract_metadata). Then switch to auto for subsequent steps. Never force every step - that's a script not an agent.,b,An empty result (0 records found) is a successful query with no matches - isError: false. An access failure (timeout - 500 error) is a genuine error - isError: true. Conflating them causes the coordinator to make wrong recovery decisions.
What should a structured MCP error response include,When subagents gather information from multiple sources the synthesis agent can lose source attribution - temporal context and silently resolve conflicts by averaging - destroying the information needed to evaluate reliability.,errorCategory (transient/validation/business/permission) - isRetryable boolean - human-readable description and for transient errors: attemptsMade - partialResults and whatWasAttempted,Extracting critical transactional data (amounts - dates - order numbers - statuses) into a separate structured block included in every prompt outside of summarized history - so concrete facts are never lost to summarization.,High false-positive categories train developers to dismiss everything reflexively - including accurate findings in other categories. The fix is either razor-sharp criteria with code examples or temporarily disabling the category entirely.,b,errorCategory (transient/validation/business/permission) - isRetryable boolean - human-readable description and for transient errors: attemptsMade - partialResults and whatWasAttempted
What is the principle of scoped tool access,Customer ID - issue summary - root cause - recommended action - reason for escalation and refund amount. The agent minimizes the human's work by handing off a complete picture.,Each agent should only have tools relevant to its role. Giving agents 18 tools instead of 4-5 degrades tool selection reliability. A synthesis agent should not have web_search - it will misuse it.,Plan mode: complex tasks with large-scale changes - multiple valid approaches - architectural decisions - multi-file modifications. Direct execution: simple well-scoped single-file changes with a clear stack trace or known fix.,Restricts which tools are available during skill execution - e.g. limiting to file write operations to prevent destructive actions during a specific skill.,b,Each agent should only have tools relevant to its role. Giving agents 18 tools instead of 4-5 degrades tool selection reliability. A synthesis agent should not have web_search - it will misuse it.
What are the three tool_choice modes,A coordinator agent manages all inter-subagent communication. It analyzes requests - decomposes tasks - delegates to subagents - aggregates results and checks for gaps. Subagents never talk to each other directly.,auto (Claude decides whether and which tool to call) - any (Claude must call a tool but picks which - prevents conversational responses) - forced/specific (Claude must call one named tool - used to guarantee pipeline ordering),Prompts are probabilistic suggestions. Hooks and programmatic gates provide deterministic guarantees. When errors have financial or compliance consequences use code enforcement not prompt instructions.,Check stop_reason: if 'tool_use' continue the loop; if 'end_turn' exit. Never parse Claude's text for completion signals.,b,auto (Claude decides whether and which tool to call) - any (Claude must call a tool but picks which - prevents conversational responses) - forced/specific (Claude must call one named tool - used to guarantee pipeline ordering)
What is the forced-then-release tool_choice pattern,Semantic errors - values in wrong fields - line items that don't sum to totals - inconsistent data. Syntax is guaranteed; semantics must be validated separately.,Intercepts tool results after execution and before Claude sees them - used to normalize data formats (dates - status codes - field names) deterministically.,Extracting critical transactional data (amounts - dates - order numbers - statuses) into a separate structured block included in every prompt outside of summarized history - so concrete facts are never lost to summarization.,Force a specific tool for steps that must run first (e.g. extract_metadata). Then switch to auto for subsequent steps. Never force every step - that's a script not an agent.,d,Force a specific tool for steps that must run first (e.g. extract_metadata). Then switch to auto for subsequent steps. Never force every step - that's a script not an agent.
What is the difference between .mcp.json and ~/.claude.json scope,Semantic errors - values in wrong fields - line items that don't sum to totals - inconsistent data. Syntax is guaranteed; semantics must be validated separately.,2-4 examples targeting ambiguous cases (not easy ones) showing reasoning for why one action was chosen over alternatives demonstrating exact output format and distinguishing acceptable patterns from genuine issues.,.mcp.json is project-level committed to version control and shared with the whole team. ~/.claude.json is user-level personal and used for experimental or personal servers. Both are available simultaneously.,Plan mode: complex tasks with large-scale changes - multiple valid approaches - architectural decisions - multi-file modifications. Direct execution: simple well-scoped single-file changes with a clear stack trace or known fix.,c,.mcp.json is project-level committed to version control and shared with the whole team. ~/.claude.json is user-level personal and used for experimental or personal servers. Both are available simultaneously.
What are MCP resources used for,Sentiment does not correlate with case complexity - angry customers may have simple issues. Claude's self-reported confidence is poorly calibrated - high confidence can coexist with wrong answers.,Exposing content catalogs (issue summaries - documentation hierarchies - database schemas) so agents can browse what's available before making targeted tool calls - reducing unnecessary exploratory calls.,A programmatic check that blocks a downstream tool call until a required prior step has completed - e.g. blocking process_refund until get_customer has returned a verified customer ID.,Procedural: lists step-by-step instructions. Goal-oriented: specifies research goals and quality criteria and lets subagents decide how to achieve them.,b,Exposing content catalogs (issue summaries - documentation hierarchies - database schemas) so agents can browse what's available before making targeted tool calls - reducing unnecessary exploratory calls.
What is the difference between Grep and Glob built-in tools,To prevent the model from fabricating values to satisfy required fields. Nullable fields allow Claude to return null when source documents don't contain the information.,Grep searches inside files for content patterns (function names - error messages - imports). Glob searches for files by name or extension pattern (e.g. **/*.test.tsx).,Runs Claude Code in non-interactive (print) mode - processes the prompt - outputs to stdout and exits without waiting for user input. Required for CI/CD pipelines to prevent interactive hangs.,After synthesis the coordinator evaluates whether coverage is complete. If gaps exist it re-delegates with targeted queries and re-invokes synthesis until coverage is sufficient.,b,Grep searches inside files for content patterns (function names - error messages - imports). Glob searches for files by name or extension pattern (e.g. **/*.test.tsx).
When does Edit fail and what is the fallback,Resuming a session after editing files without informing the agent of changes. The agent's context contains old tool results and doesn't know the files changed leading to incorrect analysis.,Edit fails when the target text is not unique in the file. Fallback: Read the full file - modify the content programmatically then Write the updated file.,Grep searches inside files for content patterns (function names - error messages - imports). Glob searches for files by name or extension pattern (e.g. **/*.test.tsx).,When a customer's request falls in an area where policy is silent or ambiguous the agent must escalate rather than applying existing policy by analogy. Silence in the policy is a gap and gaps belong to humans.,b,Edit fails when the target text is not unique in the file. Fallback: Read the full file - modify the content programmatically then Write the updated file.
What is the CLAUDE.md configuration hierarchy,User-level (~/.claude/CLAUDE.md - personal not shared) - Project-level (.claude/CLAUDE.md or root CLAUDE.md - version controlled shared with team) - Directory-level (subdirectory CLAUDE.md files for local overrides),.mcp.json is project-level committed to version control and shared with the whole team. ~/.claude.json is user-level personal and used for experimental or personal servers. Both are available simultaneously.,To prevent the model from fabricating values to satisfy required fields. Nullable fields allow Claude to return null when source documents don't contain the information.,tool_use with a JSON schema as input parameters. Forces schema compliance and eliminates JSON syntax errors. tool_choice: 'any' guarantees the model calls a tool rather than returning conversational text.,a,User-level (~/.claude/CLAUDE.md - personal not shared) - Project-level (.claude/CLAUDE.md or root CLAUDE.md - version controlled shared with team) - Directory-level (subdirectory CLAUDE.md files for local overrides)
What is the @import syntax in CLAUDE.md,References external files to keep CLAUDE.md modular. Allows each package or directory to import only the relevant standards files rather than loading everything in one monolithic file.,To prevent temporal differences from being misinterpreted as contradictions. Two figures from 2021 and 2023 may reflect market growth not a conflict - without dates the synthesis agent treats them as contradictory claims about the same point in time.,Access failure: timeout - 500 error - connection dropped - the query never completed. Coordinator should retry or use fallback. Valid empty result: query succeeded normally but no matching records exist. Coordinator should confidently report no record found.,errorCategory (transient/validation/business/permission) - isRetryable boolean - human-readable description and for transient errors: attemptsMade - partialResults and whatWasAttempted,a,References external files to keep CLAUDE.md modular. Allows each package or directory to import only the relevant standards files rather than loading everything in one monolithic file.
What is the .claude/rules/ directory used for,An empty result (0 records found) is a successful query with no matches - isError: false. An access failure (timeout - 500 error) is a genuine error - isError: true. Conflating them causes the coordinator to make wrong recovery decisions.,The generator retains its reasoning context making it less likely to question its own decisions. An independent review instance without prior reasoning context catches more subtle issues.,--resume continues a specific named prior session. fork_session creates independent branches from a shared analysis baseline to explore divergent approaches without contaminating each other.,Organizing topic-specific rule files as an alternative to a monolithic CLAUDE.md. Each file has YAML frontmatter with a paths field containing glob patterns for conditional activation.,d,Organizing topic-specific rule files as an alternative to a monolithic CLAUDE.md. Each file has YAML frontmatter with a paths field containing glob patterns for conditional activation.
What is the advantage of glob-pattern rules over directory-level CLAUDE.md files,When subagents gather information from multiple sources the synthesis agent can lose source attribution - temporal context and silently resolve conflicts by averaging - destroying the information needed to evaluate reliability.,Glob patterns can apply conventions to files spread across multiple directories (e.g. all test files regardless of location) while CLAUDE.md files are directory-bound.,Project-scoped commands live in .claude/commands/ committed to version control and available to all team members. User-scoped commands live in ~/.claude/commands/ and are personal - not shared via version control.,A coordinator agent manages all inter-subagent communication. It analyzes requests - decomposes tasks - delegates to subagents - aggregates results and checks for gaps. Subagents never talk to each other directly.,b,Glob patterns can apply conventions to files spread across multiple directories (e.g. all test files regardless of location) while CLAUDE.md files are directory-bound.
