question,a,b,c,d,correct,explanation
What is the context: fork frontmatter option in skills,Grep searches inside files for content patterns (function names - error messages - imports). Glob searches for files by name or extension pattern (e.g. **/*.test.tsx).,The agent maintains a file on disk recording key findings as exploration proceeds. When answering later questions it reads the scratchpad first - findings persist on disk independent of the context window.,Runs a skill in an isolated sub-agent context preventing verbose skill outputs from polluting the main conversation's context window.,No. Subagents have isolated context. Everything - prior findings - source URLs - query goals - must be passed explicitly in the subagent's prompt.,c,Runs a skill in an isolated sub-agent context preventing verbose skill outputs from polluting the main conversation's context window.
What is the allowed-tools frontmatter option in skills,1) Customer explicitly requests a human (non-negotiable - honor immediately) 2) Policy exception or gap - policy is silent or ambiguous on the request 3) Agent cannot make meaningful progress after attempting resolution,Restricts which tools are available during skill execution - e.g. limiting to file write operations to prevent destructive actions during a specific skill.,Appended as a user message to the conversation history so Claude can reason about the next action,Force a specific tool for steps that must run first (e.g. extract_metadata). Then switch to auto for subsequent steps. Never force every step - that's a script not an agent.,b,Restricts which tools are available during skill execution - e.g. limiting to file write operations to prevent destructive actions during a specific skill.
What is the difference between project-scoped and user-scoped slash commands,They teach Claude what NOT to flag which directly reduces false positives. Without them Claude over-reports acceptable patterns as issues.,Project-scoped commands live in .claude/commands/ committed to version control and available to all team members. User-scoped commands live in ~/.claude/commands/ and are personal - not shared via version control.,What TO report (with concrete code examples for each severity level) AND what to SKIP (acceptable patterns - naming conventions - TODO comments). Both definitions are required.,Prompt chaining uses a fixed sequential pipeline for predictable workflows where steps are known in advance. Dynamic adaptive decomposition generates subtasks based on what is discovered at each step - used for investigative open-ended tasks.,b,Project-scoped commands live in .claude/commands/ committed to version control and available to all team members. User-scoped commands live in ~/.claude/commands/ and are personal - not shared via version control.
When should you use plan mode vs direct execution,--output-format json combined with --json-schema produces machine-parseable structured findings suitable for automated posting as inline PR comments.,Grep searches inside files for content patterns (function names - error messages - imports). Glob searches for files by name or extension pattern (e.g. **/*.test.tsx).,Plan mode: complex tasks with large-scale changes - multiple valid approaches - architectural decisions - multi-file modifications. Direct execution: simple well-scoped single-file changes with a clear stack trace or known fix.,Pulling samples from each document type and field category including high-confidence extractions - to catch calibration drift and detect novel error patterns. This is an ongoing process not a one-time validation.,c,Plan mode: complex tasks with large-scale changes - multiple valid approaches - architectural decisions - multi-file modifications. Direct execution: simple well-scoped single-file changes with a clear stack trace or known fix.
What is the -p flag in Claude Code CLI,Restricts which tools are available during skill execution - e.g. limiting to file write operations to prevent destructive actions during a specific skill.,Models reliably process information at the beginning and end of long inputs but may overlook information buried in the middle. Counter with deliberate placement: key summaries at the top - explicit section headers throughout.,The Task tool. The coordinator's allowedTools must include 'Task' - otherwise it cannot spawn subagents.,Runs Claude Code in non-interactive (print) mode - processes the prompt - outputs to stdout and exits without waiting for user input. Required for CI/CD pipelines to prevent interactive hangs.,d,Runs Claude Code in non-interactive (print) mode - processes the prompt - outputs to stdout and exits without waiting for user input. Required for CI/CD pipelines to prevent interactive hangs.
What flags enable structured output in CI/CD,--output-format json combined with --json-schema produces machine-parseable structured findings suitable for automated posting as inline PR comments.,1) Parsing natural language signals for termination 2) Using iteration caps as the primary stop mechanism 3) Checking for assistant text content as a completion indicator,Escalate immediately with no investigation - no further attempts. This is a non-negotiable hard rule - it is not conditional on the agent's assessment of case complexity.,Early in the session the agent references specific classes it discovered. Later it starts talking about 'typical patterns' - generic training knowledge replacing its own session findings because earlier discoveries were pushed out of context.,a,--output-format json combined with --json-schema produces machine-parseable structured findings suitable for automated posting as inline PR comments.
Why should a separate Claude instance review generated code instead of self-review,To prevent temporal differences from being misinterpreted as contradictions. Two figures from 2021 and 2023 may reflect market growth not a conflict - without dates the synthesis agent treats them as contradictory claims about the same point in time.,The generator retains its reasoning context making it less likely to question its own decisions. An independent review instance without prior reasoning context catches more subtle issues.,Action verbs in your system prompt (analyze - search - check) can match tool names and create unintended tool associations overriding well-written descriptions. Audit system prompts for verb-to-tool-name collisions.,An empty result (0 records found) is a successful query with no matches - isError: false. An access failure (timeout - 500 error) is a genuine error - isError: true. Conflating them causes the coordinator to make wrong recovery decisions.,b,The generator retains its reasoning context making it less likely to question its own decisions. An independent review instance without prior reasoning context catches more subtle issues.
What is the core problem with vague prompt instructions like 'be conservative',50% cost savings - processing window up to 24 hours - no guaranteed latency SLA - no multi-turn tool calling support. Use custom_id fields to correlate request/response pairs.,Vague instructions give Claude no actionable framework. It still has to decide what 'conservative' means for every finding and will decide inconsistently. Explicit categorical criteria always outperform confidence-based filtering.,High overall accuracy (e.g. 97%) can mask poor performance on specific document types or fields. Example: 99.5% on standard invoices but 74% on international documents. Always validate accuracy by document type and field segment.,Models reliably process information at the beginning and end of long inputs but may overlook information buried in the middle. Counter with deliberate placement: key summaries at the top - explicit section headers throughout.,b,Vague instructions give Claude no actionable framework. It still has to decide what 'conservative' means for every finding and will decide inconsistently. Explicit categorical criteria always outperform confidence-based filtering.
What is the trust cascade problem with false positives,To prevent the model from fabricating values to satisfy required fields. Nullable fields allow Claude to return null when source documents don't contain the information.,When subagents gather information from multiple sources the synthesis agent can lose source attribution - temporal context and silently resolve conflicts by averaging - destroying the information needed to evaluate reliability.,High false-positive categories train developers to dismiss everything reflexively - including accurate findings in other categories. The fix is either razor-sharp criteria with code examples or temporarily disabling the category entirely.,Pulling samples from each document type and field category including high-confidence extractions - to catch calibration drift and detect novel error patterns. This is an ongoing process not a one-time validation.,c,High false-positive categories train developers to dismiss everything reflexively - including accurate findings in other categories. The fix is either razor-sharp criteria with code examples or temporarily disabling the category entirely.
What should you define in an explicit review prompt,50% cost savings - processing window up to 24 hours - no guaranteed latency SLA - no multi-turn tool calling support. Use custom_id fields to correlate request/response pairs.,What TO report (with concrete code examples for each severity level) AND what to SKIP (acceptable patterns - naming conventions - TODO comments). Both definitions are required.,Sentiment does not correlate with case complexity - angry customers may have simple issues. Claude's self-reported confidence is poorly calibrated - high confidence can coexist with wrong answers.,Customer ID - issue summary - root cause - recommended action - reason for escalation and refund amount. The agent minimizes the human's work by handing off a complete picture.,b,What TO report (with concrete code examples for each severity level) AND what to SKIP (acceptable patterns - naming conventions - TODO comments). Both definitions are required.
What are the four characteristics of a good few-shot example,After synthesis the coordinator evaluates whether coverage is complete. If gaps exist it re-delegates with targeted queries and re-invokes synthesis until coverage is sufficient.,To prevent the model from fabricating values to satisfy required fields. Nullable fields allow Claude to return null when source documents don't contain the information.,2-4 examples targeting ambiguous cases (not easy ones) showing reasoning for why one action was chosen over alternatives demonstrating exact output format and distinguishing acceptable patterns from genuine issues.,When files have changed extensively since the last session. Prior tool results are stale. Start fresh and inject a structured summary of prior findings rather than resuming with outdated context.,c,2-4 examples targeting ambiguous cases (not easy ones) showing reasoning for why one action was chosen over alternatives demonstrating exact output format and distinguishing acceptable patterns from genuine issues.
What is the mental model for instructions vs few-shot examples,Instructions are the rules. Few-shot examples are the case law. Rules define what's legal. Case law shows how ambiguous situations were actually decided - teaching judgment not just format.,When a customer's request falls in an area where policy is silent or ambiguous the agent must escalate rather than applying existing policy by analogy. Silence in the policy is a gap and gaps belong to humans.,Procedural: lists step-by-step instructions. Goal-oriented: specifies research goals and quality criteria and lets subagents decide how to achieve them.,A coordinator agent manages all inter-subagent communication. It analyzes requests - decomposes tasks - delegates to subagents - aggregates results and checks for gaps. Subagents never talk to each other directly.,a,Instructions are the rules. Few-shot examples are the case law. Rules define what's legal. Case law shows how ambiguous situations were actually decided - teaching judgment not just format.
What is the key reason few-shot 'skip' examples matter,1) Progressive summarization risk - numerical facts get smoothed into vague descriptions 2) Lost-in-the-middle effect - models process beginning and end reliably - middle is degraded 3) Tool result bloat - verbose outputs accumulate consuming tokens,They teach Claude what NOT to flag which directly reduces false positives. Without them Claude over-reports acceptable patterns as issues.,User-level (~/.claude/CLAUDE.md - personal not shared) - Project-level (.claude/CLAUDE.md or root CLAUDE.md - version controlled shared with team) - Directory-level (subdirectory CLAUDE.md files for local overrides),auto (Claude decides whether and which tool to call) - any (Claude must call a tool but picks which - prevents conversational responses) - forced/specific (Claude must call one named tool - used to guarantee pipeline ordering),b,They teach Claude what NOT to flag which directly reduces false positives. Without them Claude over-reports acceptable patterns as issues.
What is the most reliable method for guaranteed schema-compliant structured output,Transient (timeout - retryable) - Validation (bad input - not retryable without fixing input) - Business (policy violation - not retryable) - Permission (no access - not retryable without escalation),tool_use with a JSON schema as input parameters. Forces schema compliance and eliminates JSON syntax errors. tool_choice: 'any' guarantees the model calls a tool rather than returning conversational text.,Plan mode: complex tasks with large-scale changes - multiple valid approaches - architectural decisions - multi-file modifications. Direct execution: simple well-scoped single-file changes with a clear stack trace or known fix.,errorCategory (transient/validation/business/permission) - isRetryable boolean - human-readable description and for transient errors: attemptsMade - partialResults and whatWasAttempted,b,tool_use with a JSON schema as input parameters. Forces schema compliance and eliminates JSON syntax errors. tool_choice: 'any' guarantees the model calls a tool rather than returning conversational text.
What do strict JSON schemas via tool_use NOT prevent,A command that compresses verbose context accumulated during extended exploration sessions - reducing context usage so the session can continue. A pragmatic escape valve not a replacement for architectural context management.,Semantic errors - values in wrong fields - line items that don't sum to totals - inconsistent data. Syntax is guaranteed; semantics must be validated separately.,High overall accuracy (e.g. 97%) can mask poor performance on specific document types or fields. Example: 99.5% on standard invoices but 74% on international documents. Always validate accuracy by document type and field segment.,tool_use with a JSON schema as input parameters. Forces schema compliance and eliminates JSON syntax errors. tool_choice: 'any' guarantees the model calls a tool rather than returning conversational text.,b,Semantic errors - values in wrong fields - line items that don't sum to totals - inconsistent data. Syntax is guaranteed; semantics must be validated separately.
Why should schema fields for potentially absent information be nullable,When files have changed extensively since the last session. Prior tool results are stale. Start fresh and inject a structured summary of prior findings rather than resuming with outdated context.,Runs a skill in an isolated sub-agent context preventing verbose skill outputs from polluting the main conversation's context window.,To prevent the model from fabricating values to satisfy required fields. Nullable fields allow Claude to return null when source documents don't contain the information.,Access failure: timeout - 500 error - connection dropped - the query never completed. Coordinator should retry or use fallback. Valid empty result: query succeeded normally but no matching records exist. Coordinator should confidently report no record found.,c,To prevent the model from fabricating values to satisfy required fields. Nullable fields allow Claude to return null when source documents don't contain the information.
What is retry-with-error-feedback,Runs a skill in an isolated sub-agent context preventing verbose skill outputs from polluting the main conversation's context window.,A programmatic check that blocks a downstream tool call until a required prior step has completed - e.g. blocking process_refund until get_customer has returned a verified customer ID.,Semantic errors - values in wrong fields - line items that don't sum to totals - inconsistent data. Syntax is guaranteed; semantics must be validated separately.,A validation loop where specific validation errors are appended to the prompt on retry to guide the model toward self-correction. Effective for format mismatches not for information absent from the source document.,d,A validation loop where specific validation errors are appended to the prompt on retry to guide the model toward self-correction. Effective for format mismatches not for information absent from the source document.
What are the key characteristics of the Message Batches API,Force a specific tool for steps that must run first (e.g. extract_metadata). Then switch to auto for subsequent steps. Never force every step - that's a script not an agent.,50% cost savings - processing window up to 24 hours - no guaranteed latency SLA - no multi-turn tool calling support. Use custom_id fields to correlate request/response pairs.,To prevent temporal differences from being misinterpreted as contradictions. Two figures from 2021 and 2023 may reflect market growth not a conflict - without dates the synthesis agent treats them as contradictory claims about the same point in time.,Customer ID - issue summary - root cause - recommended action - reason for escalation and refund amount. The agent minimizes the human's work by handing off a complete picture.,b,50% cost savings - processing window up to 24 hours - no guaranteed latency SLA - no multi-turn tool calling support. Use custom_id fields to correlate request/response pairs.
What are appropriate vs inappropriate use cases for batch processing,Emit multiple Task tool calls in a single coordinator response rather than across separate turns.,User-level (~/.claude/CLAUDE.md - personal not shared) - Project-level (.claude/CLAUDE.md or root CLAUDE.md - version controlled shared with team) - Directory-level (subdirectory CLAUDE.md files for local overrides),Models reliably process information at the beginning and end of long inputs but may overlook information buried in the middle. Counter with deliberate placement: key summaries at the top - explicit section headers throughout.,Appropriate: latency-tolerant non-blocking workloads (overnight reports - weekly audits - nightly test generation). Inappropriate: blocking workflows that must complete before users can proceed (pre-merge checks).,d,Appropriate: latency-tolerant non-blocking workloads (overnight reports - weekly audits - nightly test generation). Inappropriate: blocking workflows that must complete before users can proceed (pre-merge checks).
What are the three context degradation threats,failure_type - what_was_attempted - partial_results - retry_recommended and potential alternative approaches. Generic statuses like 'service unavailable' strip decision-critical context from the coordinator.,1) Progressive summarization risk - numerical facts get smoothed into vague descriptions 2) Lost-in-the-middle effect - models process beginning and end reliably - middle is degraded 3) Tool result bloat - verbose outputs accumulate consuming tokens,errorCategory (transient/validation/business/permission) - isRetryable boolean - human-readable description and for transient errors: attemptsMade - partialResults and whatWasAttempted,Force a specific tool for steps that must run first (e.g. extract_metadata). Then switch to auto for subsequent steps. Never force every step - that's a script not an agent.,b,1) Progressive summarization risk - numerical facts get smoothed into vague descriptions 2) Lost-in-the-middle effect - models process beginning and end reliably - middle is degraded 3) Tool result bloat - verbose outputs accumulate consuming tokens
What is the 'case facts' block technique,Customer ID - issue summary - root cause - recommended action - reason for escalation and refund amount. The agent minimizes the human's work by handing off a complete picture.,Extracting critical transactional data (amounts - dates - order numbers - statuses) into a separate structured block included in every prompt outside of summarized history - so concrete facts are never lost to summarization.,Semantic errors - values in wrong fields - line items that don't sum to totals - inconsistent data. Syntax is guaranteed; semantics must be validated separately.,What TO report (with concrete code examples for each severity level) AND what to SKIP (acceptable patterns - naming conventions - TODO comments). Both definitions are required.,b,Extracting critical transactional data (amounts - dates - order numbers - statuses) into a separate structured block included in every prompt outside of summarized history - so concrete facts are never lost to summarization.
What is the lost-in-the-middle effect,Models reliably process information at the beginning and end of long inputs but may overlook information buried in the middle. Counter with deliberate placement: key summaries at the top - explicit section headers throughout.,Escalate immediately with no investigation - no further attempts. This is a non-negotiable hard rule - it is not conditional on the agent's assessment of case complexity.,No. Subagents have isolated context. Everything - prior findings - source URLs - query goals - must be passed explicitly in the subagent's prompt.,Customer ID - issue summary - root cause - recommended action - reason for escalation and refund amount. The agent minimizes the human's work by handing off a complete picture.,a,Models reliably process information at the beginning and end of long inputs but may overlook information buried in the middle. Counter with deliberate placement: key summaries at the top - explicit section headers throughout.
What are the three legitimate escalation triggers,Plan mode: complex tasks with large-scale changes - multiple valid approaches - architectural decisions - multi-file modifications. Direct execution: simple well-scoped single-file changes with a clear stack trace or known fix.,2-4 examples targeting ambiguous cases (not easy ones) showing reasoning for why one action was chosen over alternatives demonstrating exact output format and distinguishing acceptable patterns from genuine issues.,1) Customer explicitly requests a human (non-negotiable - honor immediately) 2) Policy exception or gap - policy is silent or ambiguous on the request 3) Agent cannot make meaningful progress after attempting resolution,Runs Claude Code in non-interactive (print) mode - processes the prompt - outputs to stdout and exits without waiting for user input. Required for CI/CD pipelines to prevent interactive hangs.,c,1) Customer explicitly requests a human (non-negotiable - honor immediately) 2) Policy exception or gap - policy is silent or ambiguous on the request 3) Agent cannot make meaningful progress after attempting resolution
What should an agent do when a customer explicitly demands a human,Instructions are the rules. Few-shot examples are the case law. Rules define what's legal. Case law shows how ambiguous situations were actually decided - teaching judgment not just format.,Escalate immediately with no investigation - no further attempts. This is a non-negotiable hard rule - it is not conditional on the agent's assessment of case complexity.,Vague instructions give Claude no actionable framework. It still has to decide what 'conservative' means for every finding and will decide inconsistently. Explicit categorical criteria always outperform confidence-based filtering.,1) Parsing natural language signals for termination 2) Using iteration caps as the primary stop mechanism 3) Checking for assistant text content as a completion indicator,b,Escalate immediately with no investigation - no further attempts. This is a non-negotiable hard rule - it is not conditional on the agent's assessment of case complexity.
Why are sentiment-based escalation and self-reported confidence scores unreliable escalation proxies,Appended as a user message to the conversation history so Claude can reason about the next action,Project-scoped commands live in .claude/commands/ committed to version control and available to all team members. User-scoped commands live in ~/.claude/commands/ and are personal - not shared via version control.,Runs a skill in an isolated sub-agent context preventing verbose skill outputs from polluting the main conversation's context window.,Sentiment does not correlate with case complexity - angry customers may have simple issues. Claude's self-reported confidence is poorly calibrated - high confidence can coexist with wrong answers.,d,Sentiment does not correlate with case complexity - angry customers may have simple issues. Claude's self-reported confidence is poorly calibrated - high confidence can coexist with wrong answers.
What is the policy gap escalation rule,Sentiment does not correlate with case complexity - angry customers may have simple issues. Claude's self-reported confidence is poorly calibrated - high confidence can coexist with wrong answers.,High false-positive categories train developers to dismiss everything reflexively - including accurate findings in other categories. The fix is either razor-sharp criteria with code examples or temporarily disabling the category entirely.,Glob patterns can apply conventions to files spread across multiple directories (e.g. all test files regardless of location) while CLAUDE.md files are directory-bound.,When a customer's request falls in an area where policy is silent or ambiguous the agent must escalate rather than applying existing policy by analogy. Silence in the policy is a gap and gaps belong to humans.,d,When a customer's request falls in an area where policy is silent or ambiguous the agent must escalate rather than applying existing policy by analogy. Silence in the policy is a gap and gaps belong to humans.
What is the difference between an access failure and a valid empty result in error propagation,1) Parsing natural language signals for termination 2) Using iteration caps as the primary stop mechanism 3) Checking for assistant text content as a completion indicator,Access failure: timeout - 500 error - connection dropped - the query never completed. Coordinator should retry or use fallback. Valid empty result: query succeeded normally but no matching records exist. Coordinator should confidently report no record found.,Escalate immediately with no investigation - no further attempts. This is a non-negotiable hard rule - it is not conditional on the agent's assessment of case complexity.,Restricts which tools are available during skill execution - e.g. limiting to file write operations to prevent destructive actions during a specific skill.,b,Access failure: timeout - 500 error - connection dropped - the query never completed. Coordinator should retry or use fallback. Valid empty result: query succeeded normally but no matching records exist. Coordinator should confidently report no record found.
What structured error context should a subagent return to the coordinator,Use hooks for: refund limits - data normalization - PII redaction - blocking admin tools. Use prompts for: tone of voice - suggested upsells - preferred resolution order. Rule: if you'd get fired for the 1% failure use a hook.,High overall accuracy (e.g. 97%) can mask poor performance on specific document types or fields. Example: 99.5% on standard invoices but 74% on international documents. Always validate accuracy by document type and field segment.,Restricts which tools are available during skill execution - e.g. limiting to file write operations to prevent destructive actions during a specific skill.,failure_type - what_was_attempted - partial_results - retry_recommended and potential alternative approaches. Generic statuses like 'service unavailable' strip decision-critical context from the coordinator.,d,failure_type - what_was_attempted - partial_results - retry_recommended and potential alternative approaches. Generic statuses like 'service unavailable' strip decision-critical context from the coordinator.
What is the scratchpad file technique for codebase exploration,The Task tool. The coordinator's allowedTools must include 'Task' - otherwise it cannot spawn subagents.,Appropriate: latency-tolerant non-blocking workloads (overnight reports - weekly audits - nightly test generation). Inappropriate: blocking workflows that must complete before users can proceed (pre-merge checks).,The agent maintains a file on disk recording key findings as exploration proceeds. When answering later questions it reads the scratchpad first - findings persist on disk independent of the context window.,1) Progressive summarization risk - numerical facts get smoothed into vague descriptions 2) Lost-in-the-middle effect - models process beginning and end reliably - middle is degraded 3) Tool result bloat - verbose outputs accumulate consuming tokens,c,The agent maintains a file on disk recording key findings as exploration proceeds. When answering later questions it reads the scratchpad first - findings persist on disk independent of the context window.
What is the symptom of context degradation in codebase exploration,Each agent should only have tools relevant to its role. Giving agents 18 tools instead of 4-5 degrades tool selection reliability. A synthesis agent should not have web_search - it will misuse it.,Instructions are the rules. Few-shot examples are the case law. Rules define what's legal. Case law shows how ambiguous situations were actually decided - teaching judgment not just format.,Early in the session the agent references specific classes it discovered. Later it starts talking about 'typical patterns' - generic training knowledge replacing its own session findings because earlier discoveries were pushed out of context.,Organizing topic-specific rule files as an alternative to a monolithic CLAUDE.md. Each file has YAML frontmatter with a paths field containing glob patterns for conditional activation.,c,Early in the session the agent references specific classes it discovered. Later it starts talking about 'typical patterns' - generic training knowledge replacing its own session findings because earlier discoveries were pushed out of context.
What is the /compact command in Claude Code,Prompt chaining uses a fixed sequential pipeline for predictable workflows where steps are known in advance. Dynamic adaptive decomposition generates subtasks based on what is discovered at each step - used for investigative open-ended tasks.,A validation loop where specific validation errors are appended to the prompt on retry to guide the model toward self-correction. Effective for format mismatches not for information absent from the source document.,A command that compresses verbose context accumulated during extended exploration sessions - reducing context usage so the session can continue. A pragmatic escape valve not a replacement for architectural context management.,Resuming a session after editing files without informing the agent of changes. The agent's context contains old tool results and doesn't know the files changed leading to incorrect analysis.,c,A command that compresses verbose context accumulated during extended exploration sessions - reducing context usage so the session can continue. A pragmatic escape valve not a replacement for architectural context management.
What is the aggregate metric trap in human review,Appended as a user message to the conversation history so Claude can reason about the next action,High overall accuracy (e.g. 97%) can mask poor performance on specific document types or fields. Example: 99.5% on standard invoices but 74% on international documents. Always validate accuracy by document type and field segment.,1) Customer explicitly requests a human (non-negotiable - honor immediately) 2) Policy exception or gap - policy is silent or ambiguous on the request 3) Agent cannot make meaningful progress after attempting resolution,Runs Claude Code in non-interactive (print) mode - processes the prompt - outputs to stdout and exits without waiting for user input. Required for CI/CD pipelines to prevent interactive hangs.,b,High overall accuracy (e.g. 97%) can mask poor performance on specific document types or fields. Example: 99.5% on standard invoices but 74% on international documents. Always validate accuracy by document type and field segment.
What is stratified random sampling in human review,When subagents gather information from multiple sources the synthesis agent can lose source attribution - temporal context and silently resolve conflicts by averaging - destroying the information needed to evaluate reliability.,Escalate immediately with no investigation - no further attempts. This is a non-negotiable hard rule - it is not conditional on the agent's assessment of case complexity.,Customer ID - issue summary - root cause - recommended action - reason for escalation and refund amount. The agent minimizes the human's work by handing off a complete picture.,Pulling samples from each document type and field category including high-confidence extractions - to catch calibration drift and detect novel error patterns. This is an ongoing process not a one-time validation.,d,Pulling samples from each document type and field category including high-confidence extractions - to catch calibration drift and detect novel error patterns. This is an ongoing process not a one-time validation.
What is the provenance problem in multi-source synthesis,Plan mode: complex tasks with large-scale changes - multiple valid approaches - architectural decisions - multi-file modifications. Direct execution: simple well-scoped single-file changes with a clear stack trace or known fix.,Early in the session the agent references specific classes it discovered. Later it starts talking about 'typical patterns' - generic training knowledge replacing its own session findings because earlier discoveries were pushed out of context.,errorCategory (transient/validation/business/permission) - isRetryable boolean - human-readable description and for transient errors: attemptsMade - partialResults and whatWasAttempted,When subagents gather information from multiple sources the synthesis agent can lose source attribution - temporal context and silently resolve conflicts by averaging - destroying the information needed to evaluate reliability.,d,When subagents gather information from multiple sources the synthesis agent can lose source attribution - temporal context and silently resolve conflicts by averaging - destroying the information needed to evaluate reliability.
How should conflicting statistics from credible sources be handled in synthesis,Include both values with explicit source annotation and publication dates. The subagent does not pick a winner. The coordinator or end user decides how to reconcile. Conflicts are preserved never hidden.,tool_use with a JSON schema as input parameters. Forces schema compliance and eliminates JSON syntax errors. tool_choice: 'any' guarantees the model calls a tool rather than returning conversational text.,No. Subagents have isolated context. Everything - prior findings - source URLs - query goals - must be passed explicitly in the subagent's prompt.,1) Customer explicitly requests a human (non-negotiable - honor immediately) 2) Policy exception or gap - policy is silent or ambiguous on the request 3) Agent cannot make meaningful progress after attempting resolution,a,Include both values with explicit source annotation and publication dates. The subagent does not pick a winner. The coordinator or end user decides how to reconcile. Conflicts are preserved never hidden.
Why are publication dates required in subagent structured outputs,Restricts which tools are available during skill execution - e.g. limiting to file write operations to prevent destructive actions during a specific skill.,User-level (~/.claude/CLAUDE.md - personal not shared) - Project-level (.claude/CLAUDE.md or root CLAUDE.md - version controlled shared with team) - Directory-level (subdirectory CLAUDE.md files for local overrides),To prevent temporal differences from being misinterpreted as contradictions. Two figures from 2021 and 2023 may reflect market growth not a conflict - without dates the synthesis agent treats them as contradictory claims about the same point in time.,--output-format json combined with --json-schema produces machine-parseable structured findings suitable for automated posting as inline PR comments.,c,To prevent temporal differences from being misinterpreted as contradictions. Two figures from 2021 and 2023 may reflect market growth not a conflict - without dates the synthesis agent treats them as contradictory claims about the same point in time.
